vlUnitario,qtMaterial,cdMaterial,cdEmbalagem,qtEquivalencia
16.19,250,449,1,1
16.03,30,449,1,1
16.124,200,449,1,1
16.124,40,449,1,1
14.252,20,449,1,1
14.252,60,449,1,1
16.523,160,449,1,1
16.124,100,449,1,1
14.252,50,449,1,1
14.99,100,449,1,1
16.523,100,449,1,1
16.523,90,449,1,1
13.15,120,449,1,1
161.9,30,449,1,1
13.15,120,449,1,1
16.19,10,449,1,1
16.19,100,449,1,1
14.99,20,449,1,1
14.252,200,449,1,1
13.15,400,449,1,1
14.252,400,449,1,1
13.15,600,449,1,1
16.03,600,449,1,1
13.15,120,449,1,1
13.15,500,449,1,1
13.15,60,449,1,1
13.15,150,449,1,1
13.15,150,449,1,1
13.15,500,449,1,1
13.15,800,449,1,1
13.15,"3,160",449,1,1
13.15,480,449,1,1
13.15,1.000,449,1,1
16.03,40,449,1,1
16.03,10,449,1,1
16.523,30,449,1,1
160.3,5,449,1,1
14.252,60,449,1,1
14.252,20,449,1,1
16.124,80,449,1,1
161.9,3,449,1,1
16.03,20,449,1,1
16.124,50,449,1,1
161.24,4,449,1,1
16.19,100,449,1,1
16.523,40,449,1,1
16.064,10,449,1,1
16.03,30,449,1,1
16.523,20,449,1,1
14.99,30,449,1,1
16.064,100,449,1,1
16.124,10,449,1,1
14.99,30,449,1,1
16.03,80,449,1,1
16.064,100,449,1,1
14.252,40,449,1,1
16.03,30,449,1,1
16.19,30,449,1,1
14.252,20,449,1,1
16.124,70,449,1,1
14.252,100,449,1,1
16.523,20,449,1,1
16.523,50,449,1,1
13.15,60,449,1,1
16.19,80,449,1,1
14.99,50,449,1,1
16.124,40,449,1,1
16.523,160,449,1,1
14.99,50,449,1,1
14.99,500,449,1,1
13.15,80,449,1,1
16.064,80,449,1,1
14.252,80,449,1,1
16.124,20,449,1,1
16.124,120,449,1,1
16.064,150,449,1,1
16.03,120,449,1,1
16.19,50,449,1,1
13.15,40,449,1,1
14.99,20,449,1,1
14.99,80,449,1,1
16.19,50,449,1,1
14.99,30,449,1,1
13.15,40,449,1,1
14.99,70,449,1,1
16.03,60,449,1,1
16.523,30,449,1,1
16.03,50,449,1,1
16.523,80,449,1,1
16.124,250,449,1,1
16.03,60,449,1,1
13.15,80,449,1,1
16.124,500,449,1,1
16.064,120,449,1,1
14.252,100,449,1,1
14.252,140,449,1,1
160.3,5,449,1,1
16.124,30,449,1,1
149.9,4,449,1,1
14.252,280,449,1,1
14.252,100,449,1,1
161.24,11,449,1,1
14.252,50,449,1,1
13.15,200,449,1,1
16.124,200,449,1,1
16.03,40,449,1,1
149.9,2,449,1,1
16.064,30,449,1,1
13.15,100,449,1,1
14.252,110,449,1,1
16.19,300,449,1,1
131.5,9,449,1,1
13.15,110,449,1,1
13.15,40,449,1,1
131.5,9,449,1,1
16.124,350,449,1,1
14.99,60,449,1,1
16.523,300,449,1,1
14.252,70,449,1,1
14.99,100,449,1,1
13.15,250,449,1,1
14.99,300,449,1,1
13.15,350,449,1,1
16.064,240,449,1,1
13.15,200,449,1,1
13.15,150,449,1,1
13.15,300,449,1,1
13.15,160,449,1,1
13.15,200,449,1,1
13.15,500,449,1,1
13.15,500,449,1,1
13.15,740,449,1,1
13.15,"3,000",449,1,1
13.15,700,449,1,1
13.15,500,449,1,1
13.15,240,449,1,1
14.252,360,449,1,1
16.124,50,449,1,1
14.99,100,449,1,1
161.24,6,449,1,1
142.52,3,449,1,1
14.252,20,449,1,1
16.03,20,449,1,1
149.9,6,449,1,1
16.523,20,449,1,1
16.19,40,449,1,1
16.124,20,449,1,1
16.523,40,449,1,1
16.124,500,449,5,10
14.252,80,449,1,1
14.252,150,449,1,1
14.99,50,449,1,1
14.252,60,449,1,1
16.03,40,449,1,1
165.23,3,449,1,1
16.124,40,449,1,1
